
Disease,fever,cough,headache,fatigue,sore_throat,shortness_of_breath,muscle_aches,loss_of_taste_or_smell,nausea,diarrhea,vomiting,chills,congestion,runny_nose,rash,stomach_pain,dizziness,joint_pain,chest_pain,loss_of_appetite
Common Cold,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Common Cold,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Common Cold,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Common Cold,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Common Cold,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Influenza,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Influenza,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Influenza,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
COVID-19,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
COVID-19,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COVID-19,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COVID-19,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
COVID-19,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Gastroenteritis,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
Gastroenteritis,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Gastroenteritis,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
Gastroenteritis,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
Gastroenteritis,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Migraine,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Migraine,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Migraine,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Migraine,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Migraine,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
